18/03/21 05:11:21 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.3-hadoop2
18/03/21 05:11:22 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-1-m/10.138.0.5:8032
18/03/21 05:11:23 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/03/21 05:11:24 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
18/03/21 05:11:25 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
18/03/21 05:11:26 INFO input.FileInputFormat: Total input files to process : 3035
18/03/21 05:11:26 INFO mapreduce.JobSubmitter: number of splits:3035
18/03/21 05:11:26 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1521605320044_0002
18/03/21 05:11:27 INFO impl.YarnClientImpl: Submitted application application_1521605320044_0002
18/03/21 05:11:27 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-1-m:8088/proxy/application_1521605320044_0002/
18/03/21 05:11:27 INFO mapreduce.Job: Running job: job_1521605320044_0002
18/03/21 05:11:35 INFO mapreduce.Job: Job job_1521605320044_0002 running in uber mode : false
18/03/21 06:04:56 INFO mapreduce.Job:  map 72% reduce 0%
18/03/21 06:05:37 INFO mapreduce.Job:  map 73% reduce 0%
18/03/21 06:06:22 INFO mapreduce.Job:  map 74% reduce 0%
18/03/21 06:07:02 INFO mapreduce.Job:  map 75% reduce 0%
18/03/21 06:07:42 INFO mapreduce.Job:  map 76% reduce 0%
18/03/21 06:08:26 INFO mapreduce.Job:  map 77% reduce 0%
18/03/21 06:09:07 INFO mapreduce.Job:  map 78% reduce 0%
18/03/21 06:09:48 INFO mapreduce.Job:  map 79% reduce 0%
18/03/21 06:10:30 INFO mapreduce.Job:  map 80% reduce 0%
18/03/21 06:11:10 INFO mapreduce.Job:  map 81% reduce 0%
18/03/21 06:11:54 INFO mapreduce.Job:  map 82% reduce 0%
18/03/21 06:12:34 INFO mapreduce.Job:  map 83% reduce 0%
18/03/21 06:13:13 INFO mapreduce.Job:  map 84% reduce 0%
18/03/21 06:13:55 INFO mapreduce.Job:  map 85% reduce 0%
18/03/21 06:14:35 INFO mapreduce.Job:  map 86% reduce 0%
18/03/21 06:15:16 INFO mapreduce.Job:  map 87% reduce 0%
18/03/21 06:15:55 INFO mapreduce.Job:  map 88% reduce 0%
18/03/21 06:16:38 INFO mapreduce.Job:  map 89% reduce 0%
18/03/21 06:17:18 INFO mapreduce.Job:  map 90% reduce 0%
18/03/21 06:17:59 INFO mapreduce.Job:  map 91% reduce 0%
18/03/21 06:18:44 INFO mapreduce.Job:  map 92% reduce 0%
18/03/21 06:19:22 INFO mapreduce.Job:  map 93% reduce 0%
18/03/21 06:20:06 INFO mapreduce.Job:  map 94% reduce 0%
18/03/21 06:20:47 INFO mapreduce.Job:  map 95% reduce 0%
18/03/21 06:21:27 INFO mapreduce.Job:  map 95% reduce 3%
18/03/21 06:21:32 INFO mapreduce.Job:  map 95% reduce 7%
18/03/21 06:21:34 INFO mapreduce.Job:  map 95% reduce 11%
18/03/21 06:21:36 INFO mapreduce.Job:  map 95% reduce 15%
18/03/21 06:21:39 INFO mapreduce.Job:  map 96% reduce 15%
18/03/21 06:21:57 INFO mapreduce.Job:  map 96% reduce 16%
18/03/21 06:22:32 INFO mapreduce.Job:  map 97% reduce 16%
18/03/21 06:23:25 INFO mapreduce.Job:  map 98% reduce 16%
18/03/21 06:24:15 INFO mapreduce.Job:  map 99% reduce 16%
18/03/21 06:24:43 INFO mapreduce.Job:  map 99% reduce 17%
18/03/21 06:25:03 INFO mapreduce.Job:  map 100% reduce 17%
18/03/21 06:25:34 INFO mapreduce.Job:  map 100% reduce 21%
18/03/21 06:25:35 INFO mapreduce.Job:  map 100% reduce 22%
